RIndependent Gonzalez BaselineGreedy Bottleneck Dynamic
888 164 213 1958 3
848 176 218 2027 8
827 185 219 2108 3
998 188 272 2201 7
895 170 213 1983 4
838 162 212 2005 3
857 201 218 1998 3
1015 161 224 1889 3
843 194 225 2058 4
1129 282 222 2343 2
986 204 247 2546 3
1385 200 265 2457 3
902 217 288 2445 3
826 194 218 2068 8
964 189 231 1990 3
847 266 277 2480 3
1062 212 218 2020 3
898 162 217 1986 2
833 178 213 2041 3
841 154 209 1963 3
857 240 210 1906 3
852 229 209 1905 2
839 188 239 1973 3
852 175 211 1987 3
867 198 263 2185 3
895 318 217 1936 7
821 200 204 1996 3
833 282 235 2072 3
823 172 205 1944 25
841 239 205 1943 9
848 162 204 2000 3
825 174 268 1949 3
914 231 221 2779 3
922 171 204 1899 4
800 166 205 1952 3
812 198 203 1980 3
848 188 201 1852 5
854 161 203 1900 3
804 216 201 1911 3
807 305 203 1947 9
835 267 204 1867 3
801 161 204 1901 3
840 201 205 1907 12
810 146 200 1976 7
829 166 201 1929 5
851 222 203 1907 3
804 145 200 1870 3
846 162 199 1860 2
1138 264 217 1995 5
945 226 217 2043 3
950 205 262 2222 3
898 218 227 2103 3
911 194 215 2027 2
882 166 205 1941 4
830 215 197 1846 11
812 204 200 1910 2
837 177 196 1900 45
799 152 198 1918 3
833 324 201 1873 27
864 197 195 1885 5
873 176 198 1920 3
873 216 196 1983 3
890 168 235 2000 10
800 175 197 1831 4
829 176 194 1801 35
843 201 223 2078 3
908 199 192 1965 7
873 153 196 1836 3
854 152 195 2010 6
949 224 204 1997 4
903 189 206 1884 4
794 231 193 1831 22
879 184 205 2134 6
973 244 195 1855 3
864 207 226 1836 3
813 156 195 2008 9
941 207 205 1867 3
802 201 192 1840 8
821 156 195 1846 2
821 177 204 2034 4
870 157 191 1777 3
877 173 193 1842 4
818 221 192 1862 3
892 221 261 2143 2
940 302 257 2050 3
943 147 213 2022 9
911 188 196 1854 3
842 156 202 2007 3
924 213 221 2050 3
808 166 198 1811 7
963 330 222 2062 4
895 189 224 2037 8
804 241 191 1853 7
883 204 238 1899 4
865 198 196 1965 3
941 202 191 1804 8
840 227 192 1867 4
939 156 218 1804 3
854 147 197 1783 3
817 193 190 1818 4
834 228 202 2054 4
904 192 192 1812 8
950 214 193 1788 4
869 151 191 1919 3
884 201 212 1850 3
838 185 187 1892 3
897 227 219 1826 7
878 193 201 1960 3
930 248 192 1771 3
860 275 205 1850 3
1034 168 192 1787 4
898 197 201 2045 4
875 158 191 1912 9
820 248 189 1896 3
828 191 190 1966 5
928 202 202 1776 3
829 188 190 1870 3
847 165 187 1740 4
856 206 196 2035 4
961 148 184 1800 3
923 201 187 1720 8
816 209 182 1788 3
882 210 212 1905 3
881 172 182 1896 3
828 224 183 1767 15
837 156 182 1864 4
956 206 182 1799 3
921 227 186 1868 2
799 179 183 1729 3
804 188 193 1934 3
997 189 179 1725 2
784 187 206 1424 10
806 168 181 1721 3
843 206 190 1921 4
868 136 181 1757 3
893 205 184 1727 7
842 155 178 1742 3
915 219 206 1979 4
950 211 214 1829 3
852 213 176 1737 17
794 186 195 1842 3
899 226 182 1851 3
794 180 177 1777 3
827 181 177 1672 3
848 218 175 1739 2
828 206 174 1751 2
834 232 173 1668 15
917 203 186 1729 12
847 239 175 1760 2
822 161 177 1702 2
852 210 189 1932 7
952 293 176 1895 12
924 213 180 1856 1609
867 257 198 1967 3
952 239 200 1852 3
855 237 170 1839 4
958 173 217 1719 4
811 219 169 1790 3
828 174 174 1676 3
852 193 167 1799 5
853 174 164 1753 3
874 216 165 1415 3
854 176 164 1688 34
838 152 172 1757 3
946 216 173 1707 3
882 177 167 1817 14
855 231 163 1720 5
816 160 163 1812 3
915 207 186 1661 3
817 227 169 1825 4
888 165 163 1732 19
821 184 164 1749 4
912 163 195 1689 4
833 217 161 1741 3
874 216 162 1620 3
828 211 160 1772 4
923 260 204 1628 3
877 206 161 1356 4
856 151 161 1641 6
868 205 178 1689 4
961 215 193 1922 4
1016 174 181 1878 2
923 214 181 1930 3
925 256 222 1751 4
873 181 172 1894 4
872 148 171 1691 3
886 171 171 1579 3
960 199 163 1723 3
947 201 156 1635 3
906 197 204 1506 3
974 277 157 1742 4
923 186 154 1698 4
900 198 173 1671 3
882 166 166 1194 3
827 178 149 1706 3
827 236 152 1229 3
904 199 156 1276 4
917 221 149 1639 3
825 264 149 1520 3
816 171 149 1617 2
927 237 151 1761 3
829 214 156 1619 4
848 198 154 1529 3
830 248 148 1435 3
881 216 152 1327 7
1016 191 150 1561 3
865 219 149 1551 3
840 192 148 1160 3
837 156 147 1667 4
976 171 160 1683 3
